Frequency[Hz] rel_gain
0 1
100000 1
110017 0.999563
128991 0.974918
166387 0.973783
198212 0.973004
236124 0.948944
314427 0.947701
405583 0.901806
453367 0.901346
514908 0.87925
575572 0.837218
653702 0.797137
791225 0.758754
988644 0.671471
1140850 0.639278
1380860 0.565821
1619010 0.500877
1959610 0.432707
2527730 0.356023
2780930 0.322985
3108570 0.292992
3530530 0.259401
4.00977e+06 0.229661
4701320 0.203301
5172260 0.180019
5781630 0.163302
6360770 0.148148
6997940 0.134401
7698920 0.12492
8605970 0.110606
9619890 0.0979327
11279000 0.0888191
12810000 0.0786361
14319200 0.0713338
16788800 0.0646955
19684300 0.0615893
24990200 0.0586109
29770100 0.0557928
