name 	 BETAX 	 BETAY
TCL.5R1.B1 	 72.09748804 	 354.7971293
TCTH.4L2.B1 	 47.33067244 	 47.76522185
TDI.4L2.B1 	 114.4309508 	 46.48298079
TCTVB.4L2 	 128.3562635 	 52.28939167
TCLIA.4R2 	 48.91230278 	 120.5073478
TCLIB.6R2.B1 	 261.1773543 	 37.90931445
TCP.6L3.B1 	 131.5241046 	 144.6956928
TCSG.5L3.B1 	 54.31546675 	 299.4063206
TCSG.4R3.B1 	 26.35781682 	 393.6850365
TCSG.A5R3.B1 	 36.58805904 	 341.3431397
TCSG.B5R3.B1 	 46.50253325 	 310.056531
TCLA.A5R3.B1 	 144.7744143 	 174.1627362
TCLA.B5R3.B1 	 153.9439073 	 166.8872651
TCLA.6R3.B1 	 126.7956095 	 170.6996236
TCLA.7R3.B1 	 68.32114205 	 88.2401966
TCTH.4L5.B1 	 582.1224078 	 228.8718459
TCTVA.4L5.B1 	 583.51094 	 237.419975
TCL.5R5.B1 	 72.22623354 	 355.884733
TCDQA.A4R6.B1 	 495.2539828 	 165.4590609
TCDQA.B4R6.B1 	 506.3882516 	 169.7345222
TCSG.4R6.B1 	 520.4623145 	 175.3311767
TCP.D6L7.B1 	 158.8712382 	 78.26341077
TCP.C6L7.B1 	 150.5288044 	 82.76328618
TCP.B6L7.B1 	 142.4630846 	 87.48835131
TCSG.A6L7.B1 	 39.26522588 	 229.2537092
TCSG.B5L7.B1 	 163.1461153 	 163.8588202
TCSG.A5L7.B1 	 189.392774 	 143.4699773
TCSG.D4L7.B1 	 334.9761627 	 67.96628766
TCSG.B4L7.B1 	 138.3340012 	 132.2487468
TCSG.A4L7.B1 	 127.3342958 	 142.6267806
TCSG.A4R7.B1 	 117.0313799 	 153.6298292
TCSG.B5R7.B1 	 124.2954422 	 263.7084267
TCSG.D5R7.B1 	 217.2324312 	 155.6444833
TCSG.E5R7.B1 	 244.9822705 	 133.449858
TCSG.6R7.B1 	 332.9465045 	 47.34300495
TCLA.A6R7.B1 	 294.4447635 	 48.29115048
TCLA.B6R7.B1 	 157.7002739 	 77.17730103
TCLA.C6R7.B1 	 67.70541641 	 153.3814188
TCLA.D6R7.B1 	 64.19121775 	 159.4525147
TCLA.A7R7.B1 	 65.43669755 	 144.4731849
TCTH.4L8.B1 	 243.7668886 	 301.9913324
TCTVB.4L8 	 536.5623181 	 335.1804612
TCTH.4L1.B1 	 582.1222744 	 228.8714197
TCTVA.4L1.B1 	 583.5108058 	 237.4195336
