name	halfgap[m]	nsigma
TCL.5R1.B1 	0.00295033791018 	10.0
TCTH.4L2.B1 	0.00515859203927 	26.0
TDI.4L2.B1 	0.21 	999.0
TCTVB.4L2 	0.00557528141566 	26.0
TCLIA.4R2 	0.275 	999.0
TCLIB.6R2.B1 	0.194 	999.0
TCP.6L3.B1 	0.00412436988407 	16.0
TCSG.5L3.B1 	0.00325553189501 	19.6
TCSG.4R3.B1 	0.00225548317 	19.6
TCSG.A5R3.B1 	0.00291393807045 	19.6
TCSG.B5R3.B1 	0.00329602562761 	19.6
TCLA.A5R3.B1 	0.00644097787873 	21.6
TCLA.B5R3.B1 	0.00597804801981 	21.6
TCLA.6R3.B1 	0.00552326871945 	21.6
TCLA.7R3.B1 	0.0039512632688 	21.6
TCTH.4L5.B1 	0.00892006903965 	10.0
TCTVA.4L5.B1 	0.00566781492314 	10.0
TCL.5R5.B1 	0.00295393181482 	10.0
TCDQA.A4R6.B 	0.00529394168582 	10.6
TCDQA.B4R6.B 	0.00535307047355 	10.6
TCSG.4R6.B1 	0.00516288386606 	10.1
TCP.D6L7.B1 	0.00109366085717 	5.5
TCP.C6L7.B1 	0.00151675677865 	5.5
TCP.B6L7.B1 	0.00128066233537 	5.5
TCSG.A6L7.B1 	0.00215639385042 	9.0
TCSG.B5L7.B1 	0.0025770937561 	9.0
TCSG.A5L7.B1 	0.00262934632393 	9.0
TCSG.D4L7.B1 	0.00167872808558 	9.0
TCSG.B4L7.B1 	0.0023914435949 	9.0
TCSG.A4L7.B1 	0.00235095773214 	9.0
TCSG.A4R7.B1 	0.00235926708833 	9.0
TCSG.B5R7.B1 	0.00270135694215 	9.0
TCSG.D5R7.B1 	0.00271459202233 	9.0
TCSG.E5R7.B1 	0.00271789395676 	9.0
TCSG.6R7.B1 	0.00370661969654 	9.0
TCLA.A6R7.B1 	0.00180939748041 	11.6
TCLA.B6R7.B1 	0.0032928082599 	11.6
TCLA.C6R7.B1 	0.00321339637621 	11.6
TCLA.D6R7.B1 	0.00210277748572 	11.6
TCLA.A7R7.B1 	0.0020900331641 	11.6
TCRYO.8R7.B1 	0.00130150412277 	10.0
TCRYO.10R7.B 	0.00147322407005 	10.0
TCTH.4L8.B1 	0.00576294197064 	26.0
TCTVB.4L8 	0.0061751063348 	26.0
TCTH.4L1.B1 	0.00892006903965 	10.0
TCTVA.4L1.B1 	0.00566781492314 	10.0
