name 	 betax 	 betay 	 length
BS_50A	1.33836e+02	1.36353e+02	2.19920348e+04
BS_50L	3.71201e+02	3.36631e+02	1.67234600e+02
BS_53V	2.34902e+02	2.34902e+02	1.57630000e+01
BS_53H	7.96699e+01	7.96699e+01	1.57630000e+01
BS_63V	7.51185e+02	7.71175e+02	2.36731500e+02
BS_63H	1.55402e+02	1.55402e+02	4.74880000e+01
BS_69	2.07151e+03	2.08150e+03	1.30644500e+02
BS_74	3.18665e+02	3.18664e+02	5.38240000e+01
MBW	1.38630e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92196e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92196e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	9.60969e+02	9.67286e+02	3.47731580e+03
BS_101	6.27563e+03	6.27563e+03	3.80000000e+01
taperBS101_BS121	8.87956e+03	8.87956e+03	1.48000000e-01
BS_121	1.57984e+04	1.57984e+04	2.08652000e+02
BPMCW	3.84327e+03	3.84315e+03	1.20000000e+00
BPMs	1.51437e+04	1.51201e+04	6.00000000e+00
RF	1.74204e+02	2.30869e+02	8.76000000e+00
CMS	7.39735e+02	2.95781e+03	1.86000000e+01
ATLAS	3.64786e+03	9.12246e+02	8.00000000e+00
ALICE	3.95653e+01	3.95651e+01	8.60000000e+00
LHCb	1.01548e+02	1.01548e+02	8.60000000e+00
BBC_H	2.17494e+03	8.78067e+03	2.00000000e+00
BBC_V	8.69635e+03	2.19603e+03	2.00000000e+00
Crab	4.52365e+03	4.58007e+03	2.60000000e+01
