name 	 betax 	 betay 	 length
BS_50A	8.78750e+01	8.96340e+01	2.19920348e+04
BS_50L	1.29447e+02	1.30488e+02	1.67234600e+02
BS_53V	7.98030e+01	7.98030e+01	1.57630000e+01
BS_53H	7.98032e+01	7.98032e+01	1.57630000e+01
BS_63V	1.61130e+02	1.64250e+02	2.36731500e+02
BS_63H	1.49566e+02	1.49566e+02	4.74880000e+01
BS_69	1.54106e+02	1.64227e+02	1.30644500e+02
BS_74	1.19568e+02	1.19568e+02	5.38240000e+01
MBW	1.38630e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92196e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92196e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	1.48670e+02	1.57475e+02	3.47731580e+03
BS_101	1.31585e+02	1.31585e+02	3.80000000e+01
taperBS101_BS121	1.83988e+02	1.83988e+02	1.48000000e-01
BS_121	3.21832e+02	3.21832e+02	2.08652000e+02
BPMCW	8.28618e+01	8.28592e+01	1.20000000e+00
BPMs	3.08613e+02	3.08249e+02	6.00000000e+00
RF	1.74204e+02	2.30869e+02	8.76000000e+00
CMS	4.29717e+01	4.29717e+01	1.86000000e+01
ATLAS	5.15973e+01	5.15973e+01	8.00000000e+00
ALICE	3.95651e+01	3.95648e+01	8.60000000e+00
LHCb	3.95638e+01	3.95639e+01	8.60000000e+00
BBC_H	1.59876e+02	1.61355e+02	2.00000000e+00
BBC_V	1.59876e+02	1.61355e+02	2.00000000e+00
Crab	1.50394e+02	1.52062e+02	2.60000000e+01
