Rxd Qxd fxd Ryd Qyd fyd
4.58E+006 2.54E+003 4.00E+008 4.58E+006 2.54E+003 4.00E+008
8.14E+005 5.07E+002 6.83E+008 8.14E+005 5.07E+002 6.83E+008
2.21E+003 1.44E+002 8.33E+008 2.21E+003 1.44E+002 8.33E+008
5.15E-001 8.70E+001 9.34E+008 5.15E-001 8.70E+001 9.34E+008
8.31E+004 1.39E+002 1.08E+009 8.31E+004 1.39E+002 1.08E+009
2.52E+002 2.37E+002 1.14E+009 2.52E+002 2.37E+002 1.14E+009
1.60E+006 9.09E+002 1.17E+009 1.60E+006 9.09E+002 1.17E+009
3.95E+006 1.41E+003 1.22E+009 3.95E+006 1.41E+003 1.22E+009
4.03E+003 6.24E+002 1.39E+009 4.03E+003 6.24E+002 1.39E+009
2.42E+003 4.63E+003 1.45E+009 2.42E+003 4.63E+003 1.45E+009
1.08E+004 1.08E+005 1.50E+009 1.08E+004 1.08E+005 1.50E+009
1.26E+006 4.36E+002 1.64E+009 1.26E+006 4.36E+002 1.64E+009
1.56E+005 1.02E+003 1.73E+009 1.56E+005 1.02E+003 1.73E+009
1.83E+003 1.17E+004 1.75E+009 1.83E+003 1.17E+004 1.75E+009
5.05E+008 1.44E+006 1.75E+009 5.05E+008 1.44E+006 1.75E+009
1.51E+002 8.61E+003 1.83E+009 1.51E+002 8.61E+003 1.83E+009
3.34E+006 8.61E+003 1.83E+009 3.34E+006 8.61E+003 1.83E+009
6.90E+004 1.43E+003 1.84E+009 6.90E+004 1.43E+003 1.84E+009
1.53E+004 1.43E+003 1.84E+009 1.53E+004 1.43E+003 1.84E+009
1.54E+000 5.44E-001 1.86E+009 1.54E+000 5.44E-001 1.86E+009
7.41E+000 5.79E-001 1.86E+009 7.41E+000 5.79E-001 1.86E+009
1.27E+007 1.80E+004 1.92E+009 1.27E+007 1.80E+004 1.92E+009
5.39E+005 9.21E+002 1.95E+009 5.39E+005 9.21E+002 1.95E+009
9.61E+003 8.29E+003 1.96E+009 9.61E+003 8.29E+003 1.96E+009
1.64E+005 3.11E+004 1.97E+009 1.64E+005 3.11E+004 1.97E+009
