name 	 betax 	 betay 	 length
BS_50A	8.62495e+01	9.11333e+01	2.19920348e+04
BS_50L	1.72482e+02	1.59130e+02	1.67234600e+02
BS_53V	6.72546e+02	6.72547e+02	3.15260000e+01
BS_53H	6.72572e+02	6.72572e+02	3.15260000e+01
BS_63V	6.81228e+02	6.87571e+02	2.84219500e+02
BS_63H	1.43594e+03	1.43595e+03	9.49760000e+01
BS_69	4.44904e+02	4.24637e+02	1.30644500e+02
BS_74	5.98066e+02	5.98067e+02	6.46100000e+01
MBW	1.38629e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10154e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10154e+02	7.45920000e+01
Warm_Pipe	3.41940e+02	3.43165e+02	3.59225980e+03
taperBS53_BS63	1.72564e+03	1.72564e+03	1.20000000e-01
taperBS63_BS74	2.87688e+03	2.87688e+03	3.08000000e-01
taperBS74_warm	2.80301e+03	2.80301e+03	1.40000000e-01
BPM61CW	8.39027e+02	8.39028e+02	1.20000000e+00
BPM61strip	2.00327e+03	2.05362e+03	1.00000000e+00
BPM80strip	2.47734e+03	2.48243e+03	1.00000000e+00
RF	2.18054e+02	1.21428e+02	8.76000000e+00
CMS	4.03877e+02	4.03877e+02	1.86000000e+01
ALICE	3.95663e+01	3.95663e+01	8.60000000e+00
LHCb	3.95664e+01	3.95663e+01	8.60000000e+00
