name 	 betax 	 betay 	 length
BS_53H	1.16008e+03	1.16008e+03	1.57630000e+01
BS_53V	1.16008e+03	1.16008e+03	1.57630000e+01
BS_63H	2.48941e+03	2.48942e+03	4.74880000e+01
BS_63V	2.48941e+03	2.48943e+03	4.74880000e+01
BS_74	2.60295e+03	2.60295e+03	1.07860000e+01
Warm_Pipe	2.25557e+03	2.25557e+03	1.09000000e+02
taperBS53_BS63	1.58194e+03	1.58194e+03	1.20000000e-01
taperBS63_BS74	2.63717e+03	2.63716e+03	3.08000000e-01
taperBS74_warm	2.56944e+03	2.56944e+03	1.40000000e-01
BPM61CW	7.69205e+02	7.69205e+02	1.20000000e+00
BPM61strip	1.83644e+03	1.88259e+03	1.00000000e+00
BPM80strip	2.27090e+03	2.27557e+03	1.00000000e+00
