I 	Bunch	taux[s]	tauy[s]
0.05 	1 	inf 	inf
0.1 	1 	inf 	inf
0.2 	1 	inf 	inf
0.3 	1 	inf 	inf
0.4 	1 	inf 	inf
0.5 	1 	inf 	inf
0.6 	1 	inf 	inf
0.7 	1 	inf 	inf
0.8 	1 	inf 	inf
0.9 	1 	0.000304833714903 	0.000305047012445
1.0 	1 	0.000162111958257 	0.000162169018758
1.1 	1 	0.000115638268078 	0.000115677834328
1.2 	1 	9.37330345506e-05 	9.34342513593e-05
1.3 	1 	7.9484432632e-05 	7.94953628831e-05
1.4 	1 	7.07672156281e-05 	7.0786555776e-05
1.5 	1 	6.45810700469e-05 	6.46070161374e-05
1.6 	1 	5.95415103936e-05 	5.949919917e-05
1.8 	1 	5.2132334441e-05 	5.21530317851e-05
2.0 	1 	4.68441183078e-05 	4.67678111716e-05
2.2 	1 	4.25198447245e-05 	4.25310331797e-05
2.4 	1 	3.88100270635e-05 	3.87866048899e-05
2.6 	1 	3.61549186097e-05 	3.61558029422e-05
2.8 	1 	3.40103545732e-05 	3.39994666338e-05
3.0 	1 	3.2410784898e-05 	3.241229902e-05
3.2 	1 	3.10099253774e-05 	3.10082857756e-05
3.4 	1 	2.99118433954e-05 	2.99109508451e-05
