x	Curve1
0.0313725	0.0384779
0.0627451	0.0680668
0.0784314	0.0976761
0.109804	0.127265
0.141176	0.00277996
0.188235	0.00864488
0.203922	0.230847
0.25098	0.0204154
0.266667	0.0115062
0.298039	0.343317
0.313725	0.372927
0.345098	0.402516
0.376471	0.0172898
0.392157	0.00245461
0.392157	0.00245461
0.470588	0.00827887
0.533333	0.0437531
0.596078	0.019968
0.643137	0.00212927
0.67451	0.052459
0.752941	0.0108758
0.8	0.0108148
0.831373	0.0611445
0.862745	0.0225853
0.862745	0.0225853
0.972549	0.0135541
0.972549	0.0135541
0.972549	0.0135541
1.01961	0.022382
1.01961	0.022382
1.11373	0.0696674
1.12941	0.0133508
1.12941	0.0133508
1.12941	0.0133508
1.17647	0.0251416
1.17647	0.0251416
1.27059	0.07539
1.28627	0.0161104
1.28627	0.0161104
1.28627	0.0161104
1.31765	0.0279216
1.31765	0.0279216
1.42745	0.0781496
1.44314	0.015907
1.44314	0.015907
1.44314	0.015907
1.56863	0.0838925
1.6	0.0157037
1.6	0.0157037
1.6	0.0157037
1.61569	0.0393871
1.61569	0.0393871
1.61569	0.0393871
1.61569	0.0393871
1.72549	0.0866521
1.75686	0.0392041
1.75686	0.0392041
1.75686	0.0392041
1.75686	0.0392041
1.77255	0.0302948
1.77255	0.0302948
1.77255	0.0302948
1.88235	0.0923747
1.89804	0.041984
1.91373	0.01826
1.91373	0.01826
1.91373	0.01826
1.92941	0.0330545
1.92941	0.0330545
1.92941	0.0330545
1.92941	0.0330545
2.02353	0.0951547
2.0549	0.0447436
2.07059	0.0180566
2.07059	0.0180566
2.07059	0.0180566
2.08627	0.0328511
2.08627	0.0328511
2.08627	0.0328511
2.08627	0.0328511
2.18039	0.100877
2.21176	0.0475033
2.22745	0.0178533
2.22745	0.0178533
2.22745	0.0178533
2.24314	0.0326478
2.24314	0.0326478
2.24314	0.0326478
2.24314	0.0326478
2.32157	0.103657
2.36863	0.0235962
2.36863	0.0235962
2.36863	0.0235962
2.38431	0.00283515
2.4	0.0324444
2.4	0.0324444
2.4	0.0324444
2.47843	0.10938
2.5098	0.0560058
2.52549	0.0204299
2.52549	0.0204299
2.52549	0.0204299
2.54118	0.00263181
2.55686	0.0322411
2.55686	0.0322411
2.55686	0.0322411
2.63529	0.112139
2.66667	0.0202469
2.66667	0.0202469
2.66667	0.0202469
2.69804	0.00242847
2.71373	0.0320378
2.71373	0.0320378
2.71373	0.0320378
2.77647	0.120845
2.82353	0.0230065
2.82353	0.0230065
2.82353	0.0230065
2.8549	0.00222513
2.87059	0.0318344
2.87059	0.0318344
2.87059	0.0318344
2.93333	0.123605
2.98039	0.0228032
2.98039	0.0228032
2.98039	0.0228032
3.01176	0.00202179
3.07451	0.0197182
3.07451	0.0197182
3.12157	0.0670646
3.16863	0.00181845
3.21569	0.0195352
3.23137	0.0284038
3.27843	0.0698243
3.27843	0.0698243
3.32549	0.00161511
3.37255	0.143776
3.41961	0.0251968
3.41961	0.0251968
3.41961	0.0251968
3.48235	0.00141176
3.51373	0.152482
3.57647	0.0249935
3.57647	0.0249935
3.57647	0.0249935
3.63922	0.00120842
3.67059	0.161168
3.73333	0.0218272
3.73333	0.0218272
3.73333	0.0218272
3.76471	0.0158606
3.76471	0.0158606
3.79608	0.00100508
3.81176	0.169874
3.8902	0.0808831
3.8902	0.0808831
3.92157	0.0245461
3.92157	0.0245461
3.95294	0.000801743
3.96863	0.181522
4.03137	0.086626
4.04706	0.0332723
4.07843	0.0243428
4.07843	0.0243428
4.1098	0.190228
4.18824	0.0390153
4.18824	0.0390153
4.23529	0.0241394
4.23529	0.0241394
4.25098	0.201897
4.26667	0.000395062
4.3451	0.0921452
4.3451	0.0921452
4.39216	0.0239361
4.39216	0.0239361
4.42353	-0.00277124
4.48627	0.0949252
4.50196	0.0415715
