x	Curve2
0.015625	-2.0719
0.015625	-2.0719
0.109375	-0.0708404
0.109375	-0.0708404
0.140625	-2.01643
0.171875	-1.00707
0.171875	-1.00707
0.25	-0.141329
0.296875	-2.01467
0.328125	1.0127
0.328125	1.0127
0.390625	1.01341
0.390625	1.01341
0.453125	-2.01292
0.484375	-1.02157
0.53125	-0.318342
0.546875	0.0061585
0.546875	0.0061585
0.609375	-2.01116
0.640625	-1.01981
0.65625	-0.407024
0.703125	1.01693
0.703125	1.01693
0.765625	-2.0094
0.796875	2.00897
0.8125	-0.999859
0.8125	-0.999859
0.859375	0.946615
0.859375	0.946615
0.921875	-2.00764
0.953125	2.01073
0.96875	-1.05215
1	0.0112613
1.01562	0.948374
1.0625	-0.67272
1.07812	-2.00588
1.10938	2.01249
1.125	-1.05039
1.15625	-0.00499718
1.15625	-0.00499718
1.17188	1.02221
1.1875	-0.77942
1.23438	-2.00412
1.26562	2.01425
1.28125	-1.04863
1.29688	-0.00341357
1.3125	-0.868102
1.32812	1.02397
1.39062	-2.00236
1.42188	2.01601
1.4375	-1.04688
1.45312	-0.019672
1.46875	0.935459
1.48438	1.00771
1.53125	1.98121
1.54688	-2.0006
1.57812	-0.991237
1.59375	-0.0180884
1.625	0.9192
1.64062	1.00947
1.64062	1.00947
1.6875	1.98297
1.70312	-1.99884
1.73438	0.00151323
1.76562	-1.16931
1.78125	0.92096
1.79688	-1.06085
1.84375	2.03878
1.84375	2.03878
1.85938	-1.99708
1.89062	0.0032728
1.90625	-1.27583
1.9375	0.92272
1.95312	-1.05909
2	1.98649
2	1.98649
2.01562	-1.9773
2.03125	-1.36451
2.04688	-0.985959
2.09375	0.906461
2.10938	-1.05733
2.15625	2.0423
2.15625	2.0423
2.17188	-1.45302
2.1875	-0.011402
2.20312	-0.984199
2.25	0.908221
2.26562	-1.07359
2.29688	-1.52368
2.3125	1.97199
2.32812	0.00819961
2.32812	0.00819961
2.35938	-0.982439
2.40625	0.90998
2.42188	-1.63038
2.42188	-1.63038
2.46875	1.97375
2.46875	1.97375
2.48438	-1.97202
2.51562	-0.998698
2.5625	0.893722
2.57812	1.02002
2.57812	1.02002
2.60938	-1.98863
2.60938	-1.98863
2.625	1.97551
2.625	1.97551
2.67188	-0.996938
2.6875	-1.80757
2.71875	-1.0865
2.73438	1.02178
2.76562	-1.98687
2.76562	-1.98687
2.78125	-0.0227337
2.78125	-0.0227337
2.82812	-0.995179
2.85938	0.879047
2.875	-1.08474
2.89062	1.02354
2.9375	1.96101
2.9375	1.96101
2.95312	-1.93071
2.98438	-0.993419
3.01562	-1.98406
3.01562	-1.98406
3.03125	-1.101
3.04688	1.0253
3.09375	-0.0192145
3.09375	-0.0192145
3.10938	-1.91093
3.14062	-0.99166
3.17188	0.864548
3.17188	0.864548
3.20312	1.02706
3.23438	1.94633
3.25	2.05462
3.26562	-1.90917
3.28125	-2.19728
3.29688	-0.9899
3.3125	-1.09783
3.32812	-1.98054
3.35938	1.02882
3.39062	1.94809
3.40625	-2.28597
3.40625	-2.28597
3.42188	-1.88939
3.45312	-0.98814
3.48438	0.850049
3.48438	0.850049
3.51562	1.03058
3.54688	1.94985
3.54688	1.94985
3.5625	2.05814
3.57812	-1.88763
3.60938	-0.986381
3.64062	-1.97702
3.64062	-1.97702
3.67188	1.03234
3.6875	-2.46298
3.70312	1.91558
3.71875	2.0599
3.71875	2.0599
3.76562	-0.984621
3.79688	0.83555
3.79688	0.83555
3.8125	-2.55166
3.82812	1.0341
3.84375	1.91716
3.85938	-0.0286106
3.875	-1.84825
3.92188	-1.14502
3.92188	-1.14502
3.9375	-2.64034
3.95312	0.83731
3.98438	1.93676
4.01562	-0.0268511
4.03125	2.06341
4.0625	-1.16146
4.0625	-1.16146
4.07812	-0.981102
4.09375	-1.97192
4.14062	1.03762
4.14062	1.03762
4.17188	-0.0250915
4.1875	2.06517
4.20312	-2.81753
4.21875	-1.1597
4.23438	-0.979343
4.25	0.822635
4.29688	1.90424
4.29688	1.90424
4.32812	-2.90621
4.34375	2.06693
4.34375	2.06693
4.375	-1.17596
4.39062	-0.977583
4.40625	-1.9684
4.45312	1.906
4.45312	1.906
4.48438	-0.0395904
4.5	2.06869
