x	Curve1
0.0206493	0.0182652
0.0208471	0.00311453
0.0411799	0.0456209
0.0564493	0.0759857
0.067842	0.00330441
0.0769799	0.103341
0.0922888	0.130676
0.11278	0.161062
0.120059	0.00351539
0.13331	0.188417
0.148619	0.215752
0.167093	0.000675123
0.16911	0.246138
0.184419	0.273472
0.20495	0.300828
0.208827	0.00387405
0.225441	0.331214
0.24075	0.358548
0.255822	0.00406393
0.266384	0.395016
0.286914	0.422371
0.302184	0.452736
0.302856	0.00122366
0.322714	0.480092
0.349851	0.00141354
0.402107	-0.00140563
0.449062	0.00181439
0.449181	-0.00727604
0.496057	0.00200427
0.496216	-0.0101163
0.548314	-0.000814895
0.548472	-0.0129355
0.595269	0.00240513
0.595388	-0.0066853
0.595546	-0.0188059
0.647485	0.0026161
0.647604	-0.00647433
0.647802	-0.021625
0.699702	0.00282708
0.699821	-0.00626335
0.700018	-0.0214141
0.751919	0.00303805
0.752077	-0.00908252
0.752275	-0.0242332
0.804135	0.00324903
0.804293	-0.00887154
0.804531	-0.0270524
0.846383	-0.0329439
0.856352	0.00346001
0.85651	-0.00866057
0.893418	-0.0357842
0.908568	0.00367098
0.908766	-0.0114797
0.945674	-0.0386033
0.960785	0.00388196
0.960983	-0.0112688
0.99793	-0.0414225
1.00806	-0.0171392
1.013	0.00409293
1.05019	-0.0442417
1.06027	-0.0169282
1.06522	0.00430391
1.09718	-0.0440518
1.11253	-0.0197474
1.11743	0.00451489
1.14948	-0.0499011
1.16475	-0.0195364
1.16965	0.00472586
1.20173	-0.0527203
1.217	-0.0223555
1.22187	0.00493684
1.25399	-0.0555394
1.26922	-0.0221446
1.27408	0.00514782
1.30102	-0.0583797
1.31625	-0.0249848
1.3263	0.00535879
1.35324	-0.0581687
1.36847	-0.0247739
1.37852	0.00556977
1.40554	-0.064018
1.42069	-0.0245629
1.43073	0.00578074
1.45779	-0.0668372
1.47298	-0.0304122
1.48295	0.00599172
