x	Curve1
0.0104895	2.01831
0.0104895	2.01831
0.0629371	1.01894
0.0629371	1.01894
0.0629371	1.01894
0.0734266	0.000890019
0.115385	1.01958
0.115385	1.01958
0.115385	1.01958
0.125874	0.00152575
0.167832	1.02022
0.167832	1.02022
0.167832	1.02022
0.173077	-0.106993
0.178322	0.00216147
0.22028	2.02085
0.22028	2.02085
0.225524	-0.142721
0.230769	0.0027972
0.272727	-1.99669
0.272727	-1.99669
0.272727	-1.99669
0.283217	0.00343293
0.31993	1.02206
0.325175	2.02212
0.325175	2.02212
0.335664	0.00406866
0.361888	1.00439
0.372378	-0.250032
0.377622	-0.995423
0.377622	-0.995423
0.388112	0.00470439
0.409091	1.00496
0.424825	-0.28576
0.43007	2.02339
0.43007	2.02339
0.440559	0.00534011
0.461538	1.00559
0.472028	-0.321551
0.482517	-1.99415
0.482517	-1.99415
0.493007	0.00597584
0.508741	1.02435
0.524476	-0.357279
0.534965	-1.99352
0.534965	-1.99352
0.545455	0.00661157
0.555944	1.00674
0.566434	0.988684
0.571678	-0.393071
0.587413	-1.99288
0.587413	-1.99288
0.597902	0.0072473
0.618881	1.02568
0.624126	-0.428798
0.63986	-0.992244
0.63986	-0.992244
0.65035	0.00788303
0.671329	1.02632
0.671329	1.02632
0.692308	-0.991608
0.692308	-0.991608
0.702797	0.00851875
0.723776	0.990591
0.723776	0.990591
0.744755	-0.990973
0.744755	-0.990973
0.755245	0.00915448
0.770979	-0.517928
0.776224	0.991227
0.797203	2.02784
0.797203	2.02784
0.807692	0.00979021
0.823427	-0.571837
0.828671	1.02823
0.84965	-0.989701
0.84965	-0.989701
0.86014	0.0104259
0.875874	-0.589383
0.881119	1.02886
0.902098	-1.98907
0.902098	-1.98907
0.912587	0.0110617
0.923077	-0.643357
0.928322	0.956707
0.933566	1.0295
0.954545	-1.98843
0.954545	-1.98843
0.965035	0.0116974
0.975524	-0.660903
0.980769	0.957343
0.986014	1.03013
1.00175	-1.00604
1.00699	2.01221
1.01748	0.0123331
1.02273	-0.696694
1.03322	0.957978
1.03846	1.01259
1.04895	-1.98729
1.0542	-1.0054
1.05944	2.01284
1.06993	0.0129688
1.07517	-0.732422
1.08566	0.958614
1.09091	-2.00496
1.10664	-1.00477
1.11189	2.01348
1.12238	-0.768214
1.13811	-1.9862
1.13811	-1.9862
1.14336	1.01386
1.1486	-1.00426
1.16434	2.01411
1.17483	0.0142403
1.17483	0.0142403
1.19056	0.959886
1.1958	1.01449
1.20105	-0.985442
1.21678	2.01475
1.22203	-0.839733
1.22727	0.014876
1.24301	0.960521
1.24825	1.01513
1.26923	-0.857343
1.26923	-0.857343
1.27972	0.0155118
1.29545	0.942975
1.3007	-1.00242
1.31643	-1.98404
1.32168	2.01602
1.33217	0.0161475
1.3479	0.943611
1.35315	-1.00178
1.36888	-0.928862
1.37413	2.01666
1.38462	0.0167832
1.40035	0.944247
1.40559	-0.964781
1.41084	-2.00108
1.42657	2.01729
1.43706	0.0174189
1.4528	1.01761
1.4528	1.01761
1.45804	-1.00051
1.47902	2.01793
1.48951	0.0362365
