x	Curve2
0.216138	-2.01486
0.792507	-1.9923
1.44092	-1.99211
2.08934	-1.99191
2.8098	-1.9917
3.53026	-1.99148
4.25072	-1.99127
4.89914	-1.99107
5.6196	-1.99086
6.34006	-1.99064
7.06052	-1.99043
7.78098	-1.99021
8.50144	-1.99
9.2219	-1.98978
9.94236	-1.98957
10.5908	-1.98191
11.3112	-1.9817
12.0317	-1.98148
12.7522	-1.98127
13.4726	-1.98105
14.1931	-1.98084
14.9135	-1.98062
15.634	-1.98041
16.3545	-1.98019
17.0749	-1.97998
17.7954	-1.97976
18.5159	-1.97955
19.2363	-1.97933
19.8127	-1.94931
20.5331	-1.94909
21.2536	-1.94888
21.9741	-1.94866
22.6945	-1.94845
23.415	-1.94823
24.1354	-1.94802
24.8559	-1.9478
25.5764	-1.94759
26.2968	-1.94737
26.9452	-1.92479
27.6657	-1.92458
28.3862	-1.92436
29.1066	-1.92415
29.8271	-1.92393
30.5476	-1.92372
31.268	-1.9235
31.9885	-1.92329
32.7089	-1.92307
33.4294	-1.90047
34.1499	-1.90025
34.8703	-1.90004
35.5908	-1.89982
36.3112	-1.89961
37.0317	-1.89939
37.7522	-1.89918
38.4726	-1.89896
39.121	-1.87638
39.8415	-1.87617
40.562	-1.87595
41.2104	-1.8683
41.9308	-1.86808
42.5793	-1.87535
43.1556	-1.86771
43.804	-1.86752
44.5245	-1.84492
45.1729	-1.85219
47.4784	-1.84404
48.1268	-1.85131
48.7752	-1.85111
49.4236	-1.82853
