x	Curve3
3.24675	0.00260547
3.96825	0.00139012
4.68975	0.00265925
5.26696	0.00392299
5.84416	0.0039445
6.49351	0.0039687
7.21501	0.00523783
7.86436	0.00401979
8.51371	0.00404399
9.23521	0.00407088
9.81241	0.00409239
10.4618	0.00411659
11.1111	0.00538302
11.8326	0.00292544
12.4098	0.00543142
15.5123	0.00554704
16.2338	0.00681617
16.9553	0.00560082
17.6046	0.00686725
18.254	0.00564922
18.9755	0.00691834
19.697	0.00570299
20.3463	0.00696943
21.0678	0.00699632
21.7893	0.0070232
22.5108	0.00705009
23.1602	0.00583206
23.8817	0.00710118
24.6032	0.00588583
30.2309	0.00858003
30.8802	0.007362
31.6017	0.00863112
32.2511	0.00741308
32.9004	0.00867952
33.5498	0.00746148
34.127	0.00872523
34.8485	0.00875212
35.4978	0.00877632
37.4459	0.00760668
38.0952	0.00887311
38.7446	0.00765508
39.3939	0.00892151
39.9711	0.00770079
40.6926	0.00896991
41.342	0.00899411
41.9913	0.00901831
44.6609	0.00787556
45.3824	0.00790245
46.1039	0.00792934
46.8254	0.00795623
47.5469	0.00798311
48.2684	0.00801
48.9899	0.00803689
49.7114	0.00806378
