x	Curve1
5.34851	-0.00864198
5.633	-0.00864198
5.9175	-0.00864198
6.37269	-0.0123457
6.65718	-0.0123457
6.94168	-0.0123457
7.19772	-0.0148148
7.48222	-0.0160494
7.76671	-0.0160494
8.05121	-0.017284
8.30725	-0.0197531
8.59175	-0.0197531
8.87624	-0.0197531
9.13229	-0.0234568
9.41679	-0.0234568
9.70128	-0.0234568
9.95733	-0.0259259
10.2418	-0.0271605
10.4979	-0.0259259
10.7539	-0.0271605
11.0384	-0.0296296
11.2945	-0.0308642
11.5505	-0.0308642
11.8065	-0.0308642
12.0626	-0.0320988
12.3471	-0.0345679
12.6031	-0.0345679
12.8876	-0.0345679
13.1721	-0.0345679
13.3997	-0.0382716
13.6842	-0.0382716
13.9118	-0.0382716
14.1394	-0.037037
14.3954	-0.037037
14.6515	-0.0419753
14.936	-0.0419753
15.192	-0.0419753
15.4765	-0.0419753
15.761	-0.0419753
16.0171	-0.045679
16.2731	-0.0444444
16.5007	-0.045679
16.7568	-0.045679
17.0413	-0.045679
17.2973	-0.0481481
17.5818	-0.0481481
17.8663	-0.0481481
18.1508	-0.0481481
18.4353	-0.0481481
18.6629	-0.0530864
18.9474	-0.0518519
19.2319	-0.0530864
19.5164	-0.0530864
19.8009	-0.0530864
