x	Curve6
0.121599	-0.00727673
0.425313	-0.00688156
0.729254	-0.021356
0.850401	0.00110647
1.15412	0.00150164
1.45783	0.0018968
1.73129	-0.00518234
2.00452	0.00260811
2.30834	-0.00443152
2.61195	0.00339844
2.91577	-0.00364119
3.189	0.00414926
3.49283	-0.00289037
3.79643	0.0049396
4.10015	0.00533476
4.37349	0.00569041
4.6772	0.00608558
4.95066	-0.000993564
5.25426	0.0068364
5.55809	-0.000203229
5.83121	0.015022
6.10478	0.000508073
6.40838	0.00833804
6.65146	0.00121937
6.95484	0.0239189
7.22796	0.0391442
7.5013	0.0394998
7.77464	0.0398555
8.04798	0.0402111
8.32133	0.0405668
8.59478	0.0334876
8.86813	0.0338433
9.14147	0.0341989
9.44518	0.0345941
9.74879	0.0424241
10.0222	0.0353449
10.2955	0.0431354
10.5688	0.043491
10.8422	0.0438467
11.146	0.036807
11.4192	0.0445975
11.7229	0.0449927
12.0266	0.0453878
12.3304	0.045783
12.6341	0.0461782
12.9378	0.0465733
13.2415	0.0469685
13.5452	0.0473637
13.788	0.0625494
14.0613	0.062905
14.3043	0.0632212
14.6079	0.0710511
14.9116	0.0714463
15.2153	0.0718415
15.4887	0.0721971
15.7924	0.0725923
16.0657	0.072948
16.3087	0.0732641
16.582	0.0736197
16.8857	0.0740149
17.1591	0.0743706
17.4324	0.0747262
17.7058	0.0750819
17.9792	0.0680027
18.2525	0.0757932
18.5562	0.0761883
18.8599	0.0765835
19.1636	0.0769787
19.4368	0.0847691
19.7407	0.0777295
