x	Curve1
1.16029	0.00247006
2.9005	0.00493291
4.64025	0.0049113
6.66997	0.00488609
8.77217	0.00485997
9.42413	0.0023674
10.0768	0.00360153
10.8014	0.00235029
11.4541	0.00358442
12.1065	0.00357632
12.7589	0.00356821
13.4838	0.00355921
14.136	0.00230887
14.8613	0.00478433
15.5133	0.00229176
16.2386	0.00476722
16.9635	0.00475822
17.6887	0.00599145
18.3408	0.00474111
19.066	0.00597434
19.7909	0.00596533
20.2985	0.00720126
21.0234	0.00719226
21.6758	0.00718415
22.3282	0.00717605
22.9809	0.00841018
23.633	0.00715984
24.3579	0.00715083
25.0104	0.00714273
25.7353	0.00713372
26.3877	0.00712562
27.0401	0.00711751
27.765	0.00710851
28.4174	0.00710041
29.0698	0.0070923
29.7947	0.0070833
30.5196	0.00707429
31.1729	0.0120351
31.8253	0.012027
32.4777	0.0120189
33.1299	0.0107686
33.7098	0.0107614
34.29	0.0119964
34.9424	0.0119883
35.5946	0.010738
36.1742	0.00948852
36.8991	0.00947951
37.624	0.00947051
38.3489	0.0094615
39.0738	0.0094525
39.7987	0.00944349
40.5236	0.00943449
41.2485	0.00942548
41.9734	0.00941648
42.6983	0.00940747
43.4232	0.00939847
44.1481	0.00938946
44.8735	0.0118649
45.5257	0.0106146
45.8874	0.00688339
46.5401	0.00811751
47.1923	0.00686718
47.7722	0.00685997
48.4971	0.00685097
49.2222	0.0080842
49.8021	0.00807699
