x	Curve3
0.180497	-1.00746
0.90357	-1.00725
1.62664	-1.00703
2.34972	-1.00681
3.07279	-1.00659
3.79586	-1.00638
4.51894	-1.00616
5.24201	-1.00594
5.89223	-1.02078
6.61531	-1.02057
7.26635	-1.01285
7.91684	-1.02018
8.56788	-1.01246
9.21865	-1.01227
9.94172	-1.01205
10.5925	-1.01185
11.2433	-1.01166
11.8214	-1.019
12.4725	-1.01129
13.123	-1.01861
13.8463	-1.01087
14.4245	-1.01822
15.0753	-1.01802
15.7986	-1.01029
16.4494	-1.01009
17.1725	-1.00987
17.8232	-1.00968
18.5463	-1.00946
19.1971	-1.00926
19.8476	-1.01659
20.4986	-1.00887
21.2217	-1.00866
21.9447	-1.00844
22.6678	-1.00822
23.318	-1.02306
24.0411	-1.02284
24.7642	-1.02263
25.415	-1.02243
26.138	-1.02221
26.8611	-1.022
27.5119	-1.0218
28.1629	-1.01409
28.8134	-1.02141
29.5367	-1.01367
30.2595	-1.02097
30.9103	-1.02078
31.6334	-1.02056
32.2844	-1.01285
33.0072	-1.02015
33.658	-1.01995
34.3811	-1.01974
35.0318	-1.01954
35.6826	-1.01934
36.4059	-1.01161
37.129	-1.01139
37.7798	-1.01119
38.4303	-1.01852
39.0813	-1.0108
39.7321	-1.01061
40.4552	-1.01039
41.1057	-1.01771
41.7564	-1.01752
42.4795	-1.0173
43.1303	-1.0171
43.781	-1.01691
44.4321	-1.00919
45.1551	-1.00898
45.8056	-1.0163
46.4567	-1.00858
47.1797	-1.00837
47.8308	-1.00065
48.4815	-1.00046
49.2049	-0.99272
49.9277	-1.00002
